Game,NFT,NFT Name,Tier,Owner Wallet,Kills,Survived For (milliseconds)
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/279,Insectoids #279,DELTA,0xed125f3efc5068b8627c4adcba6a93e8eae3a1ae,4,295558
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/292,Hounds #292,DELTA,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,3,294060
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/183,Insectoids #183,DELTA,0x44720a8c68d0aaf43f7c2228ca137037310e4d25,4,283161
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/294,Insectoids #294,DELTA,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,1,263458
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/5279,null,null,0x0fad711203f44fbd3bcf8ede641277dd1cefa811,1,257882
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/282,Hounds #282,BETA,0x153b1c39e758a58a21ea73e5038fb243c84f225b,8,256675
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/295,Insectoids #295,DELTA,0x00e1803fbb8b50db3232d8fcb61b9868e89de693,0,238610
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/56,Hounds #56,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,2,223949
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/275,Hounds #275,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,1,209369
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/572,Avian #572,SIGMA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,8,202721
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/731,Serpents #731,DELTA,0xc45cc906e4430645e2980a431b844af228216a25,2,195711
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/771,Insectoids #771,DELTA,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,1,194896
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/283,Avian #283,BETA,0x1553ec813dea924ad8fc984b384cf026386298f3,0,190720
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/5156,null,null,0xe76d6f8747a0e41c92567fa634335f97eb1597f4,0,187206
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/781,Hounds #781,BETA,0x5b164eb61055a5ea9a07205dc339d95a92f861aa,6,184107
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/290,Insectoids #290,DELTA,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,0,174061
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/770,Serpents #770,DELTA,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,1,170386
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/208,Serpents #208,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,1,161662
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/293,Insectoids #293,DELTA,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,1,151084
